id,Supervisor,Type,Theme,Keywords,Title,"Last edited/added",Description
856,"Drakakis, Manos","Desk based","Computational and theoretical modelling","Techniques / technologies - Design - electronics,Techniques / technologies - Modelling - mathematical","Reciprocity properties of networks of memristors","2025-06-05 22:41:12","MATHEMATICAL (MATLAB) PROJECT - Memristors are novel nano-elements theorised in 1976 but only recently (2008) fabricated by Hewlett Packard Labs. Qualitatively speaking memristors' operation and dynamics resemble naturally encountered synapses. The fabrication though of memristors is still in its infancy. The project investigates the reciprocity properties of networks of memristors and how/whether these can be reliably used in encryption. The student will investigate in detail the reciprocity properties of simple networks of ideal identical memristors and, ideally, the use of such networks for the encryption of biomedical signals. Ideally the student will be using Mathematica code but Matlab is also acceptable. Intended for a good YR4 student; or for  MSc students with a strong EEE degree.
(Keywords: mathematica/matlab/simulations)"
862,"Lee, Chiu Fan","Desk based","Computational and theoretical modelling","Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - mathematical","Cell division by design","2025-05-19 14:41:24","If you were asked to divide an object into two equal halves, you might just cut the object with a knife. But what would you do if you were asked to design an object that would divide itself into two halves without any external intervention? This is the problem a cell has to deal with and it accomplishes the task by coordinating the efforts of different cellular components, such as actin filaments, molecular motors and morphogens. Cell acquired this skill through trails and errors with the help of evolution. If you were to design a self-dividing object, how would you do it? Would you follow biology or would you think you can do better? This project will let you explore theoretically the best way to design cell division. 

"
1002,"Parker, Kim","Lab based","Biomechanics and mechanobiology","Techniques / technologies - Modelling - CFD,Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - mathematical","Wave intensity in coronary arteries from MR measurements","2025-05-19 14:42:00","Wave intensity analysis has proven to be a very powerful tool for the study of coronary artery hemodynamics (see my wave intensity web pages: http://www.bg.ic.ac.uk/research/k.parker/wave_intensity_web/welcome.html). The calculation of wave intensity requires the simultaneous measurement of pressure and velocity which is generally done by inserting a catheter into the artery - a very invasive procedure. Recent advances in fast MR scanning has opened the possibility of measuring coronary artery velocity non-invasively. At the same time, standard imaging scans can determine the area of the aorta which is related to the pressure. This means that it should now be possible to calculate wave intensity in the coronary arteries non-invasively.

The project will be collaborative with the CMR Unit at the Royal Brompton Hospital. There are many facets of the overall project which could form the student project depending on interest, expertise and time available. Some of the possible project areas are image analysis, signal analysis, processing of patient data and more fundamental studies of MR signal acquisition. "
1086,"Drakakis, Manos","Desk based","Medical devices","application - neurotechnology,medical devices - implants,system - neuro,Techniques / technologies - Design - electronics,Techniques / technologies - Modelling - mathematical","Revisiting low-power CMOS Hodgkin-Huxley dynamics realisation ","2025-06-05 22:19:40","TRANSISTOR LEVEL/MATHEMATICAL PROJECT -Tough non-linear transistor-level design focusing on the celebrated and Nobel-prize winning Hodgkin-Huxley dynamics. Do not choose this project unless you love realising Matlab by means of transistors! 

This project is based on rich previous work and can include both transistor-level design and matlab. It provides the student with the opportunity to master transistor-level design and to familiarise oneself with the use of industrial level software. The scope of the project is to unlock the exact synthesis of the Hodgkin-Huxley dynamics by revisiting both the transistor-level design and the mathematical approximations of the original non-linear dynamics.The project is intended for a student who has excelled in EE-1, EE-2, Bioinstrumentation and Signals & Systems courses; or for  MRes students with a strong EEE degree.
(Keywords: mathematics/transistors/cadence)"
1169,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring,disease - cancer,medical devices - biosensors,medical devices - chemical sensors","Electrochemical detection of microRNA biomarkers","2025-05-19 14:41:28","This project is a proof-of-concept investigation to study the feasibility of using chemically modified electrodes as the detection element of a novel bioanalytical scheme of broad potential applicability. The search for non-invasive tools for the diagnosis and management of cancer has led to great interest in the field of circulating nucleic acids in plasma, serum and urine. Among the potential biomarker candidates, tumour-derived micro RNAs (miRNAs), a class of non-coding RNAs of 19-25 nucleotides in length, are emerging as novel fingerprints for the diagnosis and prognosis of human cancers. Because of the lack of sensitivity and/or reliably of the existing optical methods for the profiling of these miRNAs (e.g. qPCR), we are aiming to develop an ultrasensitive and minimally invasive electrochemical technology for the screening of multiple miRNAs in serum, plasma, saliva or urine.

Ladame has demonstrated a novel fluorescence based detection strategy for sensing miRNAs in various biological fluids. It uses a combination of two complementary hybridization probes based on a synthetic peptide nucleic acid (PNA) scaffold.  PNAs show higher binding affinity, specificity and chemical robustness than more commonly used DNA or RNA probes making them attractive for application in diagnostics.  Simultaneous binding of both probes (Figure 1) leads to a Michael-type addition of a thiol from one probe to the quenched coumarin on the second probe, leading to restoration of the fluorescence signal.  In this project we propose to investigate extension of this technology to electrochemical detection.  Electrochemical methods are low cost, easily implemented in portable point-of-care devices and scale well to extreme miniaturization.

Core to our proposal is the immobilization of electrochemically active quinone-labelled PNAs on the surface of BDD.  Binding of the miRNA target followed by the second thiol-labelled probe will facilitate a 1,4 addition reaction at the quinone which can be detected from the change in redox properties.  The principle of this scheme is shown in Figure 2.  Potential advantages of this wholly novel approach include the ability to switch off the reaction by reducing the quinone to the hydroquinone, enabling background drift corrections to be implemented prior to measurement.

Different electrode materials ranging from boron-doped diamond to graphite inks will be assessed for suitability and electrochemical properties of quinoid moieties and kinetic parameters of the reacting base will inform development of a prototype device.  In addition to the electrochemical and chemical optimisation, possibly by numerical modelling, signal acquisition and data processing could form part of this project."
1238,"Lee, Chiu Fan","Desk based","Computational and theoretical modelling","Techniques / technologies - Modelling - computational","Modelling tissue regeneration as fluid flow: Implication for wound healing","2025-05-19 14:41:24","If you scratch a layer of epithelial tissue, the epithelial cells will have the remarkable ability to proliferate in a coordinated manner to repopulate the scratched area, to the extent that the tissue almost regenerates to the original form. This extraordinary property of regeneration is far from fully understood. Recent advances have revealed that the cells at the edge of the wound are not the only active players in the healing process, rather, cells deep in the bulk exhibit active motility forces [1], and large scale swirling patterns [2]. The highly dynamic nature of tissue under regeneration suggests the possibility of viewing wound healing as a collective movement of a fluid under self-generated stress (due to cell motility) and self-generated pressure (due to cell division). This perspective has recently been investigated using computer simulations which were able to capture some of the salient features of experimental observations [3]. To render the model more realistic, a number of the model assumptions need to be connected to actual biological processes. Further, a comprehensive verification of the model requires derivable predictions that can be validated by experiments. In this project, we will first construct a cell proliferation model by incorporating elements of cell adhesion, motility and proliferation common to epithelial cells. We will then employ simulation methods to study how tissue regeneration would proceed for different types of tissue damages. For instance, we will investigate how the shape of the finger-like protrusions from the edges of the wound varies with the shape of the wound. This project will lead to an in-depth understanding of the biophysical mechanisms behind wound healing, and will equip the student with the computational skills to model cell proliferation in diverse contexts.

References
1.	Trepat, X., et al., Physical forces during collective cell migration. Nature Physics, 2009. 5(6): p. 426-430.
2.	Angelini, T., et al., Glass-like dynamics of collective cell migration. Proceedings of the National Academy of Sciences, 2011. 108(12): p. 4714-4719.
3.	Basan, M., et al., Alignment of cellular motility forces with tissue flow as a mechanism for efficient wound healing. Proceedings of the National Academy of Sciences, 2013. 110(7): p. 2452-2459.
"
1239,"Lee, Chiu Fan","Desk based","Computational and theoretical modelling",,"Kinetics of amyloid fibril elongation","2025-05-19 14:41:24","Amyloids are insoluble fibrous protein aggregations stabilized by a network of hydrogen bonds and hydrophobic interactions. They are intimately related to many neurodegenerative diseases such as Alzheimer disease, Parkinson disease, and prion diseases. Better characterization of the proliferation of amyloid fibrils is therefore paramount for the understanding of the associated pathogenesis. In this project, we will aim to elucidate the dynamics of amyloid fibril elongation by performing computer simulation. "
1268,"Moore, Jimmy","Lab based","Biomechanics and mechanobiology,Computational and theoretical modelling","application - blood flow,application - cellular,application - imaging,body region / organ - biofluids,disease - cancer,disease - infection,system - cardiovascular,system - immune,system - lymphatic,Techniques / technologies - Imaging - microscopy,Techniques / technologies - Modelling - CFD,Techniques / technologies - Modelling - computational","Lymph node physiological mass transport","2025-05-19 14:41:55","Many important immune processes occur in lymph nodes, but we actually know little about their structure. This is important because it determines patterns of mass transport which assure that antigens are presented to the appropriate cells.  Based on a combination of high-resolution imaging protocols that quantify the structure of human lymph nodes, we will construct models of mass transport of chemokines and antigens in collagen bundle conduits, parenchyma and blood vessels."
1273,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","medical devices - biosensors,medical devices - chemical sensors,Techniques / technologies - Experiment - chemical","Microneedle Arrays for Biomedical Sensing Applications","2025-05-19 14:41:28","The outcome of the project is the preparation of microneedle arrays and their application as diagnostic tools for in-vivo and ex-vivo experiments.  These substrates can assess the interstitial fluid compartment thus probing non-invasively the levels of physiologically relevant biochemicals and we are currently applying this technology to the measurement of antibiotics in order to gain more precise control over dosing and reduce the risk of resistance. We are also interested in lactate as a marker for sepsis. There are multiple aspects that can be investigated. The precise mechanism of the sensor remains unclear in important aspects and we need key information about enzyme loadings to optimise the design and fabrication protocols.  There are also other transduction mechanisms to investigate- we are currently using a beta-lactamase enzyme coupled to an iridium oxide pH sensor.  Other technology may be more robust. Calibration in media comparable to skin is essential.  Preliminary work using microdialysis fibres embedded in hydrogels shows promise and modelling and design of such rigs would be useful in characterising the sensors and in developing the perfusion pump controllers."
1319,"Moore, Jimmy","Lab based","Biomechanics and mechanobiology,Medical devices","application - imaging,application - regenerative medicine,application - tissue,body region / organ - biofluids,disease - cancer,medical devices - implants,system - cardiovascular,system - immune,system - lymphatic,Techniques / technologies - Experiment - cell / tissue culture,Techniques / technologies - Experiment - chemical,Techniques / technologies - Experiment - microfluidics,Techniques / technologies - Imaging - microscopy","Lymph Node Implant for Breast Cancer-Related Lymphoedema","2025-05-19 14:41:55","A large percentage of breast cancer patients who undergo lymph node resection develop an incurable swelling of the arm called lymphoedema. We are developing an implant to replace the fluid delivery characteristics of lymph nodes. We have developed a lymph node implant that releases a growth factor to regenerate the damaged lymphatic vessels. We would like to visualize the release and flow of the growth factor once it is implanted in the tissue. We can do this using a microfluidic chip that simulates fluid flow like in tissue. The goal of this project is to use a fluorescence microscope to live image the microfluidic device as the fluorescent-labelled growth factor flows through it over time. This will help us understand where the growth factor travels to within the surgical site. "
1385,"Kozlov, Andriy","Lab based","Neurotechnology and robotics","system - auditory","Selectivity properties of central auditory neurons","2025-06-03 12:23:11","The project's aim is to analyse receptive fields of central auditory neurons using their responses to natural sounds (animal vocalisations)."
1396,"Georgiou, Pantelis","Lab based","Biomedical sensing diagnostics and imaging,Medical devices","medical devices - biosensors,medical devices - chemical sensors,medical devices - diagnostic","Design of large-scale chemical sensing platform for diagnostics","2025-05-19 14:42:27","At the Centre for Bio-Inspired Technology, we have developed Lacewing, a handheld platform able to perform nucleic acid detection in under half an hour. Our approach relies on Lab-on-Chip technology, combining microfluidics, molecular biology and microchip technology to form a smart cartridge. The microchip is implemented in standard semiconductor technology and integrates thousands of label-free electrochemical sensors which detect the release of protons associated with nucleic acid amplification. The sensors suffer from non-idealities including noise and temporal drift which compromise the readout and therefore the accuracy. The molecular assay is based on loop-mediated isothermal amplification (LAMP) which is an equivalent reaction to PCR offering rapid time-to-result and higher specificity.
 
In this project, the student will focus on implementing an efficient temperature regulation method based on a PID controller to maintain the reaction temperature at 63oC during the nucleic amplification. The student will apply to the new methods and data processing algorithms to a new very large array of 59,000 sensors (on a 8 mm x 12 mm microchip called TITAN), considering the limitations in terms of data bandwidth. If the student is interested they will have the opportunity to run DNA experiments in the laboratory.
 
The project is novel and a good outcome will lead to a conference publication.
 
We expect the student to have basic knowledge in hardware design and programming (python and Matlab). The student will be joining a multi-disciplinary team of enthusiastic researchers and will be encouraged to get involved with several fields and learn new skills.
 
This project is suitable for students wanting to do lab based testing of biochemical reactions (DNA based), characterization of sensors and development of lab-on-chip platforms. Required expertise: Instrumentation, Matlab programming, wet-lab skills, understanding of DNA. Skills on small volume testing is desirable.
"
1398,"Boutelle, Martyn","Lab based","Biomedical sensing diagnostics and imaging","application - nanotechnology,body region / organ - brain,medical devices - biosensors,system - neuro","Biosensor for Glutamate in patient microdialysis streams","2025-05-19 14:42:06","This project seeks to extend the real-time measurement of neurochemicals in the brain of TBI patients to include glutamate. Glutamate is the main excitatory neurotransmitter in the brain. In the penumbra region near a brain trauma levels of glutamate become raised both in terms of baseline levels, and dynamically during spreading depolarisation events. we would like to capture these changes to compare them with the other information recorded brain.

The project will be lab based and involve the construction of micro electrochemical sensors. Key challenges will be obtaining sufficient sensitivity for glutamate, and rejection of interferences. "
1504,"Guder, Firat","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring,application - wearables","Materials for Wearables: Fabrication of Stretchable Conductors for Wearable Devices","2025-05-19 14:41:33","Flexible electronics, that can conform to the shape of the human body, allows seamless integration of various diagnostic, energy storage, and computational devices over the body. Since the human skin is also elastic, various research groups explored the use of rubbery, low modulus materials for the construction of wearable devices that can stretch in addition to bend (hence the term stretchable electronics). The fabrication of stretchable electronics involves mounting or embedding of electronic components into/onto an elastomeric substrate in which the components are electrically connected with stretchable conductors. The current strategies for the fabrication of stretchable conductors involve highly complex methods of fabrication that limit adaptation of this technology to high volume processes and drive up the cost of manufacturing.
In this project, we will explore the use of commonly available methods, which are used in the textile manufacturing industry, to design and manufacture stretchable devices that can be worn over various parts of the body, especially the joints. Stretchable devices are an exciting area of research with an enormous potential. As part of this project, the student will acquire skills in the development of materials, composites, electronics and software."
1514,"Guder, Firat","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring","Embroidered textile sensors ","2025-05-19 14:41:33","In this project, we will produce textile-based sensors by use of computerized embroidery for the purposes of measuring toxic gases or for the purposes of biosensing using sweat. Some of the tasks withing this project include synthesis of chemically functionalized threads, design and fabrication of electronics and integration of embroidered sensors and electronics onto clothing. All necessary training will be provided over the course of the project. If you would like to discuss the details of this project, please drop me a line at guder@imperial.ac.uk
"
1515,"Guder, Firat","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring","Plant-on-a-Chip: Development of a low-cost and simple growth and monitoring environment for plants","2025-05-19 14:41:33","Although plant scientists use sophisticated genomic and biochemical methods to characterize tissues of plants, they depend mostly on visual analysis to characterize performance and vigor. In addition, they use highly complex sub-optimum environments for culturing, studying or screening plants for various features. 
In this project, we will develop low-cost and simple millifluidic growth environments for precise monitoring, controlling and studying development of plants from seed, to seedling and later on, to young plants. This project will consist of several different parts all of which can be broken into sub-projects or can be unified into a single (large) project. The project is highly interdisciplinary and involves: 

1.materials and sensors fabrication
2. systems design and integration
3. Mixed signal systems development and programming. 

If you would like to find out more about this exciting project, please drop me a line (guder@imperial.ac.uk) or catch me in the hallways. 
"
1517,"Guder, Firat","Lab based","Medical devices","application - sensing / monitoring","Diagnostics: Silicon-based Molecular Diagnostics","2025-05-19 14:41:33","Electrochemical identification of most analytes require well characterized, high surface area conductive electrodes to accurately measure presence (or absence) of a molecule of interest. In terms of integration into high-performance, compact and portable devices, silicon is potentially one of the best materials out there today.
This project will explore the use of metal coated, catalytically etched porous silicon electrodes for the detection of target DNA molecules in solution. The eventual goal of this project is to develop a the pen-side diagnostic technology for the detection of infectious animal diseases. Such technologies are particularly important for infectious diseases with no cure.
This project will involve fabrication of the electrodes, immobilization of DNA, electrochemical analysis of DNA spiked samples and (possibly) construction of a portable electrochemical reader. If you're interested on a single aspect of the proposed project, that may be arranged. If you would like to work on this project as a group, that could also be arranged. Please contact me at guder@imperial.ac.uk for more information.
"
1534,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring,medical devices - biosensors,medical devices - chemical sensors,Techniques / technologies - Experiment - chemical","Nanostructured interfaces for biocompatible biosensors","2025-05-19 14:41:28","A major problem with implantable devices is the adsorption of proteins on the sensor surface which adversely affects the performance at the molecular level.  New approaches to producing nanometre scale pores by dynamic templating seems to offer improved resistance to adsorption by providing a large internal area which is accessible to small target analyte molecules but which exclude the large proteins which are responsible for degrading sensor performance.  The project will involve mastering the techniques of preparing nanoporous metal structures, characterising their properties and applying these novel structures to the measurement of pH, glucose, dissolved oxygen and lactate in cell culture."
1540,"Guder, Firat","Lab based","Biomedical sensing diagnostics and imaging","application - sensing / monitoring","(Unavailable) Sensing of Ammonia in Breath for Managing Kidney Disease","2025-05-19 14:41:33","For patients receiving hemodialysis therapy, it would be important to know if the treatment (typically 3-4 h sessions) is long enough to clear the blood of the waste products. The duration required for the process of clearance is variable (e.g., due to blood pressure etc.). The amount of ammonia in breath is associated with the concentration of nitrogenous waste products in blood which are cleared out of the body during hemodialysis. It may therefore, be useful to monitor breath NH3 online to determine the length of hemodialysis therapy that a patient should receive. 

This project will involve construction of a device for analyzing ammonia in breath (simulated breath in the first instance). You will have to review the literature and come up with a design for sensing ammonia using conventional/off-the-shelf components. You will later build and test the system and verify functionality. For more info, contact me at guder@imperial.ac.uk."
1583,"Drakakis, Manos","Lab based","Medical devices","application - sensing / monitoring,application - wearables,body region / organ - heart,medical devices - diagnostic,Techniques / technologies - Design - electronics","Realisation and testing of an ECG front-end","2025-06-05 22:30:03","Realisation of an ECG front-end"
1641,"Masouros, Spyros","Lab based","Biomechanics and mechanobiology","application - orthopaedics,disease - injury,system - musculoskeletal,Techniques / technologies - Experiment - cadaveric testing,Techniques / technologies - Experiment - mechanical testing","Bone failure at high loading rates","2025-06-05 19:55:25","This project will be mostly lab based. It involves using existing machines in the lab to quantify failure of small testing samples from bone at physiological loading rates (ie load not slowly, but quickly). You will cut samples of different shapes and from different types of bone (long vs pelvic), to accommodate a range of local stress states ahead of failure.
The data will be used to develop material models of skeletal damage, which are critical for the prediction of injury in widely used (mostly by the automotive injury) current human body models.
Having taken the advanced stress analysis and FEA module (BACSA) in Y3 would be preferable but not a prerequisite."
1701,"Boutelle, Martyn","Lab based","Neurotechnology and robotics","application - neurotechnology,application - wearables,disease - neurodegenration,medical devices - monitoring,system - musculoskeletal,Techniques / technologies - Experiment - human volunteers","Wearable sensors for detection of ALS","2025-05-19 14:42:06","This project iis an extension of an EPSRC funded project to detect the progression of ALS (motor neurone disease) in patients. It is a Collaboration between the Boutelle group, the Drakakis Group and Prof Chris Shaw (Maurice Wahl Clinical Research Centre, King;s College Hospital). ALS is a devastating disease that is characterised by rapid deterioration in motor function leading typically to death within a few years of diagnosis. Development of therapies is hampered by the lack of a reliable method of determining the progression of the disease. Typically clinical function assessments are used, but the scale is too corse and too subjective to allow evaluation of drug therapies that might for example slow the rate of disease progression.
We have been following a different approach, where we use multiple skin contact to record EMG's from pairs of major muscle groups in the arms or legs of a patient. We are looking for complex fasciculation that seem to be characteristic of ALS. 
There are two stands of the project; the first is to develop wearable clothing that can reliably hold the contact onto the skin to allow longer recording to be made outside of the clinical consultation. The second is to develop pattern recognition algorithms  to group ALS fasciculation potentials to allow processing of large volumes of data. this is particularly important as the project now aims for patient self monitoring at home.
The project will be supported by MGB group and MRC Fellow James Bashford at KCH."
